ID,Screen_Nmae,Favorites_Count,Freinds_Count,Followers_Count,Location
460870641,GavinDre27,4133,202,221,
361979636,MastaDraegz,2800,554,202,Parts Unknown
866652115,InterestedMMA,16256,445,359,
1519029542,RuudboyMMA,5888,2278,1566,Worcester UK
491881324,mostdopesid,147057,1374,1397,Jenny❤️
1478611676,otterjohn73,14057,1845,523,"Everglades "
912851872251125760,StoningOfSteven,33587,3130,2753,"Fresno, CA"
83515251,iyellyahtzee,10672,1270,912,
387511288,ThomasCuccias,9642,477,513,New York
63814604,joxasi,1105,244,128,Texas
712138867793481730,MMAShouts,2327,794,742,"Los Angeles, CA"
385710189,rayhan_parady,27,94,123,Jakarta
3075480854,teeptothejunk,49200,1300,1059,
2852465826,drkaln,49727,121,170,LA.
200865546,Strong_Boss,10598,541,525,
328174459,SavidDtarkman,27509,155,150,Toronto
26061173,SecretMovesMMA,134558,1302,5590,10 Miles Underground
